h,s,v
108.0,147.0,111.0
107.0,157.0,112.0
110.0,145.0,114.0
110.0,119.0,120.0
107.0,126.0,125.0
106.0,136.0,126.0
108.0,137.0,130.0
108.0,142.0,129.0
108.0,161.0,130.0
105.0,160.0,129.0
107.0,159.0,130.0
107.0,162.0,132.0
107.0,161.0,133.0
108.0,168.0,129.0
110.0,160.0,126.0
110.0,153.0,122.0
108.0,155.0,120.0
109.0,150.0,121.0
108.0,153.0,122.0
109.0,148.0,119.0
108.0,165.0,119.0
106.0,165.0,116.0
108.0,141.0,116.0
111.0,122.0,119.0
108.0,131.0,125.0
107.0,137.0,127.0
108.0,140.0,133.0
108.0,139.0,130.0
108.0,145.0,132.0
107.0,151.0,133.0
107.0,154.0,131.0
106.0,159.0,136.0
107.0,162.0,135.0
108.0,153.0,128.0
107.0,154.0,126.0
108.0,155.0,127.0
109.0,153.0,127.0
109.0,151.0,125.0
108.0,149.0,123.0
106.0,153.0,122.0
108.0,169.0,116.0
106.0,163.0,117.0
108.0,138.0,118.0
111.0,119.0,122.0
108.0,131.0,125.0
107.0,135.0,128.0
108.0,140.0,133.0
108.0,138.0,131.0
108.0,145.0,132.0
107.0,154.0,131.0
107.0,154.0,131.0
106.0,164.0,132.0
107.0,162.0,135.0
108.0,147.0,134.0
107.0,146.0,133.0
108.0,148.0,133.0
109.0,147.0,132.0
109.0,144.0,131.0
108.0,143.0,128.0
106.0,149.0,125.0
108.0,159.0,120.0
108.0,153.0,122.0
108.0,148.0,121.0
107.0,150.0,129.0
108.0,150.0,133.0
107.0,144.0,131.0
108.0,141.0,134.0
108.0,135.0,132.0
109.0,137.0,132.0
109.0,139.0,127.0
107.0,147.0,128.0
106.0,153.0,130.0
109.0,151.0,135.0
106.0,146.0,133.0
110.0,144.0,138.0
109.0,140.0,135.0
107.0,135.0,130.0
107.0,137.0,132.0
108.0,141.0,130.0
108.0,145.0,130.0
108.0,159.0,120.0
108.0,155.0,120.0
108.0,149.0,120.0
107.0,156.0,124.0
108.0,154.0,129.0
107.0,145.0,130.0
108.0,144.0,131.0
108.0,136.0,131.0
109.0,136.0,133.0
109.0,134.0,131.0
107.0,144.0,131.0
106.0,151.0,132.0
109.0,152.0,134.0
106.0,144.0,135.0
110.0,143.0,139.0
109.0,138.0,137.0
107.0,130.0,135.0
107.0,133.0,136.0
108.0,134.0,137.0
108.0,143.0,132.0
108.0,156.0,121.0
111.0,149.0,120.0
105.0,139.0,117.0
107.0,135.0,123.0
108.0,138.0,129.0
108.0,138.0,129.0
108.0,133.0,130.0
108.0,131.0,132.0
108.0,136.0,131.0
108.0,139.0,132.0
108.0,141.0,134.0
108.0,137.0,134.0
106.0,144.0,135.0
106.0,150.0,139.0
111.0,146.0,143.0
109.0,136.0,139.0
109.0,130.0,135.0
109.0,130.0,139.0
109.0,136.0,142.0
108.0,137.0,136.0
108.0,152.0,124.0
111.0,145.0,123.0
105.0,134.0,122.0
107.0,129.0,128.0
108.0,134.0,133.0
108.0,135.0,132.0
108.0,131.0,132.0
108.0,130.0,133.0
108.0,133.0,134.0
108.0,137.0,134.0
108.0,140.0,135.0
108.0,136.0,135.0
106.0,143.0,136.0
106.0,152.0,138.0
111.0,147.0,142.0
109.0,135.0,140.0
109.0,128.0,137.0
109.0,129.0,140.0
109.0,136.0,142.0
108.0,133.0,140.0
110.0,153.0,130.0
110.0,146.0,126.0
109.0,131.0,130.0
109.0,119.0,129.0
107.0,121.0,131.0
106.0,128.0,134.0
107.0,128.0,132.0
108.0,129.0,134.0
108.0,134.0,135.0
108.0,133.0,136.0
108.0,131.0,136.0
107.0,123.0,137.0
108.0,131.0,138.0
108.0,140.0,140.0
108.0,140.0,142.0
107.0,142.0,142.0
108.0,135.0,142.0
108.0,135.0,145.0
108.0,137.0,145.0
108.0,143.0,146.0
110.0,152.0,131.0
110.0,141.0,130.0
109.0,130.0,131.0
109.0,117.0,131.0
107.0,118.0,134.0
106.0,128.0,134.0
107.0,126.0,134.0
108.0,128.0,135.0
108.0,132.0,137.0
108.0,132.0,137.0
108.0,130.0,137.0
107.0,122.0,138.0
108.0,130.0,139.0
108.0,139.0,141.0
108.0,142.0,140.0
107.0,142.0,142.0
108.0,135.0,142.0
108.0,138.0,142.0
108.0,138.0,144.0
108.0,148.0,141.0
107.0,148.0,131.0
108.0,143.0,134.0
110.0,137.0,136.0
109.0,124.0,136.0
108.0,128.0,135.0
108.0,131.0,136.0
110.0,134.0,143.0
108.0,131.0,140.0
107.0,129.0,136.0
108.0,133.0,138.0
110.0,136.0,146.0
109.0,135.0,144.0
109.0,136.0,143.0
108.0,134.0,141.0
108.0,132.0,139.0
107.0,138.0,140.0
108.0,135.0,140.0
108.0,134.0,141.0
107.0,144.0,142.0
110.0,144.0,138.0
107.0,145.0,134.0
108.0,142.0,135.0
110.0,136.0,137.0
109.0,122.0,138.0
108.0,126.0,138.0
108.0,129.0,138.0
110.0,138.0,139.0
108.0,134.0,137.0
107.0,130.0,135.0
108.0,133.0,138.0
110.0,140.0,142.0
109.0,137.0,141.0
109.0,136.0,142.0
108.0,134.0,141.0
108.0,132.0,139.0
107.0,138.0,140.0
108.0,135.0,140.0
108.0,134.0,141.0
107.0,145.0,141.0
110.0,143.0,139.0
107.0,136.0,133.0
106.0,141.0,136.0
110.0,144.0,143.0
107.0,143.0,143.0
108.0,140.0,146.0
106.0,136.0,143.0
109.0,129.0,140.0
111.0,120.0,132.0
108.0,133.0,138.0
107.0,141.0,141.0
108.0,142.0,144.0
108.0,135.0,142.0
107.0,136.0,139.0
108.0,138.0,142.0
108.0,140.0,142.0
110.0,140.0,140.0
110.0,139.0,141.0
110.0,139.0,141.0
110.0,139.0,138.0
110.0,134.0,137.0
107.0,133.0,136.0
106.0,138.0,139.0
110.0,144.0,143.0
107.0,143.0,143.0
108.0,143.0,143.0
106.0,136.0,142.0
109.0,127.0,142.0
111.0,113.0,140.0
108.0,131.0,140.0
107.0,141.0,141.0
108.0,144.0,142.0
108.0,134.0,143.0
107.0,133.0,142.0
108.0,138.0,142.0
108.0,140.0,142.0
110.0,138.0,142.0
110.0,139.0,141.0
110.0,138.0,142.0
110.0,135.0,142.0
110.0,129.0,142.0
108.0,132.0,141.0
107.0,137.0,147.0
108.0,139.0,150.0
106.0,131.0,142.0
107.0,128.0,141.0
108.0,128.0,141.0
107.0,139.0,143.0
106.0,148.0,145.0
110.0,156.0,157.0
108.0,137.0,143.0
107.0,136.0,142.0
108.0,142.0,144.0
108.0,139.0,143.0
109.0,136.0,143.0
106.0,133.0,140.0
107.0,141.0,145.0
108.0,139.0,147.0
107.0,134.0,145.0
108.0,127.0,142.0
111.0,124.0,144.0
108.0,130.0,143.0
107.0,142.0,142.0
108.0,144.0,145.0
106.0,130.0,143.0
107.0,127.0,143.0
108.0,127.0,143.0
107.0,139.0,143.0
106.0,149.0,144.0
110.0,167.0,147.0
108.0,137.0,143.0
107.0,136.0,143.0
108.0,143.0,143.0
108.0,139.0,143.0
109.0,136.0,143.0
106.0,131.0,142.0
107.0,141.0,145.0
108.0,139.0,147.0
107.0,135.0,144.0
108.0,127.0,143.0
111.0,121.0,147.0
110.0,127.0,145.0
110.0,122.0,144.0
109.0,119.0,143.0
109.0,121.0,145.0
107.0,123.0,141.0
107.0,134.0,145.0
106.0,146.0,145.0
104.0,154.0,144.0
108.0,150.0,148.0
108.0,133.0,144.0
107.0,139.0,145.0
108.0,138.0,142.0
109.0,136.0,143.0
111.0,135.0,144.0
109.0,132.0,143.0
108.0,129.0,146.0
108.0,127.0,147.0
112.0,111.0,135.0
108.0,109.0,140.0
107.0,114.0,148.0
110.0,124.0,148.0
110.0,121.0,146.0
109.0,119.0,144.0
109.0,122.0,144.0
107.0,122.0,142.0
107.0,133.0,146.0
106.0,145.0,146.0
104.0,153.0,145.0
108.0,154.0,144.0
108.0,132.0,145.0
107.0,138.0,146.0
108.0,134.0,146.0
109.0,132.0,147.0
111.0,134.0,145.0
109.0,132.0,143.0
108.0,130.0,145.0
108.0,127.0,147.0
112.0,103.0,146.0
108.0,106.0,144.0
107.0,114.0,148.0
108.0,124.0,148.0
108.0,123.0,147.0
108.0,134.0,147.0
108.0,140.0,146.0
111.0,137.0,153.0
108.0,121.0,143.0
107.0,135.0,147.0
106.0,145.0,146.0
112.0,142.0,147.0
108.0,134.0,146.0
109.0,136.0,150.0
108.0,138.0,152.0
109.0,138.0,148.0
109.0,132.0,143.0
107.0,126.0,138.0
108.0,127.0,141.0
108.0,120.0,144.0
109.0,111.0,143.0
108.0,112.0,146.0
109.0,117.0,151.0
108.0,126.0,146.0
108.0,124.0,146.0
108.0,133.0,148.0
108.0,139.0,147.0
111.0,142.0,147.0
108.0,118.0,147.0
107.0,134.0,148.0
106.0,143.0,148.0
112.0,141.0,148.0
108.0,134.0,147.0
109.0,137.0,149.0
108.0,141.0,148.0
109.0,139.0,147.0
109.0,131.0,144.0
107.0,124.0,140.0
108.0,125.0,143.0
108.0,120.0,145.0
109.0,109.0,145.0
108.0,112.0,146.0
109.0,118.0,149.0
110.0,143.0,150.0
111.0,141.0,148.0
110.0,147.0,144.0
109.0,155.0,140.0
109.0,162.0,137.0
107.0,162.0,135.0
109.0,160.0,132.0
109.0,168.0,132.0
109.0,168.0,129.0
111.0,168.0,126.0
111.0,171.0,124.0
112.0,170.0,123.0
112.0,166.0,121.0
111.0,158.0,118.0
111.0,165.0,116.0
108.0,164.0,115.0
109.0,166.0,114.0
108.0,162.0,112.0
110.0,159.0,111.0
111.0,156.0,111.0
111.0,162.0,112.0
110.0,151.0,155.0
110.0,148.0,150.0
109.0,152.0,146.0
110.0,152.0,141.0
109.0,151.0,137.0
109.0,151.0,135.0
109.0,153.0,133.0
109.0,149.0,130.0
108.0,155.0,127.0
109.0,159.0,122.0
109.0,166.0,123.0
109.0,171.0,124.0
110.0,171.0,124.0
111.0,162.0,118.0
109.0,164.0,115.0
108.0,163.0,116.0
108.0,164.0,115.0
109.0,157.0,112.0
109.0,159.0,111.0
109.0,157.0,112.0
109.0,156.0,113.0
110.0,151.0,155.0
110.0,147.0,151.0
109.0,149.0,149.0
110.0,150.0,143.0
109.0,150.0,138.0
109.0,150.0,136.0
109.0,152.0,134.0
109.0,147.0,132.0
108.0,150.0,131.0
109.0,151.0,128.0
109.0,161.0,127.0
109.0,169.0,125.0
110.0,168.0,126.0
111.0,158.0,121.0
109.0,161.0,117.0
108.0,161.0,117.0
108.0,163.0,116.0
109.0,156.0,113.0
109.0,159.0,111.0
109.0,160.0,110.0
109.0,160.0,110.0
110.0,151.0,166.0
108.0,153.0,160.0
109.0,149.0,151.0
109.0,149.0,145.0
110.0,144.0,140.0
110.0,142.0,138.0
110.0,142.0,135.0
110.0,138.0,133.0
108.0,142.0,131.0
108.0,149.0,132.0
110.0,155.0,128.0
108.0,161.0,127.0
111.0,161.0,127.0
110.0,162.0,123.0
108.0,156.0,116.0
108.0,160.0,118.0
109.0,161.0,117.0
109.0,161.0,117.0
109.0,156.0,116.0
109.0,154.0,114.0
109.0,152.0,111.0
110.0,149.0,168.0
108.0,153.0,160.0
109.0,149.0,151.0
109.0,146.0,148.0
110.0,140.0,144.0
110.0,137.0,143.0
110.0,136.0,141.0
110.0,133.0,138.0
108.0,138.0,135.0
108.0,149.0,132.0
110.0,153.0,130.0
108.0,159.0,128.0
111.0,161.0,127.0
110.0,163.0,122.0
108.0,153.0,118.0
108.0,160.0,118.0
109.0,160.0,118.0
109.0,160.0,118.0
109.0,155.0,117.0
109.0,154.0,114.0
109.0,150.0,112.0
110.0,154.0,176.0
110.0,155.0,164.0
109.0,148.0,152.0
109.0,148.0,150.0
108.0,143.0,146.0
110.0,137.0,145.0
110.0,138.0,144.0
110.0,137.0,145.0
110.0,141.0,141.0
109.0,144.0,135.0
